Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Prazo máximo de Entrega (product.metafields.nerd.dias_max),Prazo Mínimo de Entrega (product.metafields.nerd.dias_min),Prazo de entrega (product.metafields.nerd.prazo_entrega),Cor do Badge (product.metafields.nerdling.badge_color),Data de lançamento (product.metafields.nerdling.data_lancamento),Badge do Produto (product.metafields.nerdling.product_badge),Link (product.metafields.nerdlingo.link),Características de roupas esportivas (product.metafields.shopify.activewear-clothing-features),Atividade (product.metafields.shopify.activity),Grupo de idade (product.metafields.shopify.age-group),Instruções de cuidados (product.metafields.shopify.care-instructions),Características de roupas (product.metafields.shopify.clothing-features),Cor (product.metafields.shopify.color-pattern),Tecido (product.metafields.shopify.fabric),Decote (product.metafields.shopify.neckline),Faixa etária recomendada (product.metafields.shopify.recommended-age-group),Tamanho (product.metafields.shopify.size),Tipo de comprimento da manga (product.metafields.shopify.sleeve-length-type),Gênero alvo (product.metafields.shopify.target-gender),Tipo de comprimento do top (product.metafields.shopify.top-length-type),Características do boneco (product.metafields.shopify.toy-figure-features),Material de brinquedo/jogo (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brasil,Price / Brasil,Compare At Price / Brasil,Status
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,Camiseta Unissex Gato,"<p>Arte japonesa e o charme dos felinos se encontram nesta camiseta unissex exclusiva. A estampa traz um gato em uma paisagem estilo ukiyo-e, combinando tradição nipônica com moda contemporânea fashion.</p><strong>Detalhes do Produto</strong><ul>
<li>
<strong>Material:</strong> 100% Algodão Penteado Fio 30.1 — macio e respirável</li>
<li>
<strong>Modelagem:</strong> Unissex, corte reto, manga curta, gola redonda</li>
<li>
<strong>Estampa:</strong> DTF de alta qualidade — cores vibrantes e durabilidade comprovada</li>
<li>
<strong>Tamanhos disponíveis:</strong> P, M, G e GG</li>
</ul><strong>Cuidados com o Produto</strong><ul>
<li>Lavar com a estampa do avesso, em água fria.</li>
<li>Não utilizar alvejante nem ciclo pesado na máquina.</li>
<li>Secar à sombra; não passar ferro diretamente sobre a estampa.</li>
</ul>",Nerdlingolab,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Camiseta Básica Algodão,"Cor_BegeClaro, Cor_BegeEscuro, Cor_Branco, Cor_Cinza, Cor_Preto, Cor_Rosa, Gênero_Masculino, Tamanho_G, Tamanho_GG, Tamanho_M, Tamanho_P",true,Cor,preto,product.metafields.shopify.color-pattern,Tamanho,p,product.metafields.shopify.size,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/D_NQ_NP_2X_777269-MLB96415226184_102025-F-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones_371e5aa0-92cb-4d1d-9695-937efd2c6346.webp?v=1775605792,1,"",false,Camiseta Unissex Gato Japonês Paisagem | Algodão DTF Fashion,"Camiseta unissex com estampa de gato e paisagem japonesa. 100% algodão, DTF premium, tamanhos P ao GG. Moda fashion com arte oriental.",'10,'20,Entregue entre 10 á 20 dias,,'2026-03-27,🆕 NOVO,https://produto.mercadolivre.com.br/MLB-4282701057-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones-_JM?searchVariation=186696113570#polycard_client=search-desktop&searchVariation=186696113570&search_layout=grid&position=58&type=item&tracking_id=c685141d-c7fd-44ea-aabe-cbd362ffef20,,,adultos; adolescentes,,absorcao-de-umidade; secagem-rapida,preto; azul; bege; vermelho; cinza; creme,algodao; poliester,redondo,,p; m; g; gg,curto,feminino,medio,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/D_NQ_NP_2X_777269-MLB96415226184_102025-F-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones_371e5aa0-92cb-4d1d-9695-937efd2c6346.webp?v=1775605792,g,,,true,,,active
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,preto,,,m,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/01_4e31e025-b206-4f6d-b86a-44fa873453d0.webp?v=1775699422,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/D_NQ_NP_2X_777269-MLB96415226184_102025-F-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones_371e5aa0-92cb-4d1d-9695-937efd2c6346.webp?v=1775605792,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,preto,,,g,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/02.webp?v=1775699421,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/D_NQ_NP_2X_777269-MLB96415226184_102025-F-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones_371e5aa0-92cb-4d1d-9695-937efd2c6346.webp?v=1775605792,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,preto,,,gg,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/03_19e993a1-30ee-445b-9004-691183a3790e.webp?v=1775699421,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/D_NQ_NP_2X_777269-MLB96415226184_102025-F-camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones_371e5aa0-92cb-4d1d-9695-937efd2c6346.webp?v=1775605792,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,azul,,,p,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/04_91a02932-a598-40a7-9c0d-a88750be17d1.webp?v=1775699421,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/01_4e31e025-b206-4f6d-b86a-44fa873453d0.webp?v=1775699422,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,azul,,,m,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0946/9050/9168/files/05_71ecb94f-8ad7-4eb1-a88f-656581cd0bd1.webp?v=1775699515,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/01_4e31e025-b206-4f6d-b86a-44fa873453d0.webp?v=1775699422,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,azul,,,g,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/01_4e31e025-b206-4f6d-b86a-44fa873453d0.webp?v=1775699422,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,azul,,,gg,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/01_4e31e025-b206-4f6d-b86a-44fa873453d0.webp?v=1775699422,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,bege,,,p,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/02.webp?v=1775699421,g,,,,,,
camiseta-unissex-estampa-gato-paisagem-moda-fashion-japones,,,,,,,,,bege,,,m,,,,,,0.15,,deny,manual,66.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/9050/9168/files/02.webp?v=1775699421,g,,,,,,
